Title,Release Date,Genre1,Genre2,Genre3,Image
Grand Theft Auto V,2013-09-17,Action,Adventure,Shooter,grand_theft_auto_v.jpg
The Witcher 3: Wild Hunt,2015-05-19,RPG,Adventure,Action,the_witcher.jpg
Elden Ring,2022-02-25,RPG,Action,Adventure,elden_ring.jpg
Minecraft,2011-11-18,Survival,Adventure, ,minecraft.jpg
Fortnite,2017-07-21,Shooter,Action,Survival,fortnite.jpg
Call of Duty: Modern Warfare II,2022-10-28,Shooter,Action, ,call_of_duty_modern_warfare_ii.jpg
Resident Evil 4,2023-03-24,Horror,Action,Shooter,resident_evil_4.jpg
Little Nightmares,2017-04-28,Horror,Adventure, ,little_nightmares.jpg
Dead by Daylight,2016-06-14,Horror,Survival,Action,dead_by_daylight.jpg
World of Warcraft,2004-11-23,MMO,RPG,Adventure,world_of_warcraft.jpg
Final Fantasy XIV,2013-08-27,MMO,RPG, ,final_fantasy_xiv.jpg
The Elder Scrolls Online,2014-04-04,MMO,RPG,Adventure,the_elder_scrolls_online.jpg
Cities: Skylines,2015-03-10,Simulation,Strategy, ,cities_skylines.jpg
EA Sports FC 26,2025-09-29,Sports, , ,ea_sports_fc_26.jpg
NBA 2K26,2025-09-08,Sports, , ,nba_2k26.jpg
Elden Ring Nightreign,2025-05-29,RPG,Survival, ,nightreign.jpg
Schedule 1,2025-03-24,Simulation, , ,schedule1.jpg
Half-Life,1998-11-19,Shooter,Adventure,Horror,half_life.jpg
Half-Life Alyx,2020-03-23,Shooter,Adventure,Horror,half_life_alyx.jpg
Portal 2,2011-04-19,Strategy,Adventure, ,portal2.jpg
Vampire Survivors,2022-10-20,Survival, , ,vampire_survivors.jpg
Left 4 Dead 2,2009-11-20,Survival,Horror,Shooter,left_4_dead2.jpg
Goat Simulator,2014-04-01,Simulation,Adventure, ,goat_simulator.jpg
Hitman World of Assassination,2022-01-20,Adventure,Simulation,Shooter,hitman_world_of_assassination.jpg
Sleeping Dogs,2012-08-10,Adventure,Shooter, ,sleeping_dogs.jpg
Monster Hunter Wilds,2025-02-28,Adventure,MMO,RPG,monster_hunter_wilds.jpg
Skull Island Rise of Kong,2023-10-17,Adventure,Strategy, ,skull_island_rise_of_kong.jpg
Assassin's Creed Shadows,2025-03-20,Adventure,RPG, ,assassins_creed_shadows.jpg
New Gundam Breaker,2018-09-24,RPG,Simulation, ,new_gundam_breaker.jpg
The Lord of the Rings: Gollum,2023-05-25,Adventure,Horror, ,the_lord_of_the_rings_gollum.jpg
